simulation,Spain,Argentina,France,England,Brazil
267,20.973782771535582,19.475655430711612,13.108614232209737,7.490636704119851,4.868913857677903
268,20.8955223880597,19.776119402985074,13.059701492537313,7.462686567164178,4.850746268656716
269,21.189591078066915,19.702602230483272,13.011152416356877,7.434944237918216,4.83271375464684
270,21.11111111111111,20.0,12.962962962962962,7.4074074074074066,4.814814814814815
271,21.40221402214022,19.92619926199262,12.915129151291513,7.380073800738007,4.797047970479705
272,21.323529411764707,19.852941176470587,12.867647058823529,7.352941176470589,4.779411764705882
273,21.611721611721613,19.78021978021978,12.82051282051282,7.326007326007327,4.761904761904762
274,21.532846715328464,20.072992700729927,12.773722627737227,7.2992700729927,4.744525547445255
275,21.454545454545453,20.0,12.727272727272727,7.2727272727272725,4.7272727272727275
276,21.73913043478261,19.92753623188406,12.681159420289855,7.246376811594203,4.710144927536232
277,21.660649819494584,19.855595667870034,12.63537906137184,7.2202166064981945,4.693140794223827
278,21.58273381294964,19.784172661870503,12.589928057553957,7.194244604316546,5.0359712230215825
279,21.50537634408602,19.71326164874552,12.903225806451612,7.168458781362006,5.017921146953405
280,21.428571428571427,20.0,12.857142857142856,7.142857142857142,5.0
281,21.352313167259787,20.284697508896798,12.811387900355871,7.11743772241993,4.98220640569395
282,21.27659574468085,20.56737588652482,12.76595744680851,7.092198581560284,4.964539007092199
283,21.20141342756184,20.49469964664311,13.074204946996467,7.06713780918728,4.946996466431095
284,21.12676056338028,20.422535211267608,13.380281690140844,7.042253521126761,4.929577464788732
285,21.052631578947366,20.350877192982455,13.684210526315791,7.017543859649122,4.912280701754386
286,20.97902097902098,20.27972027972028,13.636363636363635,6.993006993006993,4.895104895104895
287,20.905923344947734,20.209059233449477,13.588850174216027,7.317073170731707,4.878048780487805
288,20.833333333333336,20.13888888888889,13.88888888888889,7.291666666666667,4.861111111111112
289,20.761245674740483,20.415224913494807,13.84083044982699,7.26643598615917,4.844290657439446
290,20.689655172413794,20.344827586206897,13.793103448275861,7.241379310344828,4.827586206896552
291,20.618556701030926,20.618556701030926,13.745704467353953,7.216494845360824,4.810996563573884
